2020-09-28 19:17:21 |INFO  |main |SpringApplication.java:655 |com.bai.guli.service.ucenter.UcenterServiceApplication |The following profiles are active: dev
2020-09-28 19:17:22 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-28 19:17:22 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-28 19:17:22 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2020-09-28 19:17:22 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=a0e80641-133a-3ee5-b559-bae2b8b2efca
2020-09-28 19:17:22 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-28 19:17:22 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-28 19:17:22 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration$$EnhancerBySpringCGLIB$$d98d6f4d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-28 19:17:23 |INFO  |main |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8160 (http)
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8160"]
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |An older version [1.2.21] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.6.5].
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |OpenSSL successfully initialized [OpenSSL 1.1.1a  20 Nov 2018]
2020-09-28 19:17:23 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-09-28 19:17:23 |INFO  |main |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 1966 ms
2020-09-28 19:17:23 |INFO  |main |SentinelWebAutoConfiguration.java:96 |com.alibaba.cloud.sentinel.SentinelWebAutoConfiguration |[Sentinel Starter] register Sentinel CommonFilter with urlPatterns: [/*].
2020-09-28 19:17:24 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-09-28 19:17:24 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-28 19:17:24 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-28 19:17:24 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-09-28 19:17:25 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler |Initializing ExecutorService
2020-09-28 19:17:25 |INFO  |main |EpollProvider.java:68 |io.lettuce.core.EpollProvider |Starting without optional epoll library
2020-09-28 19:17:25 |INFO  |main |KqueueProvider.java:70 |io.lettuce.core.KqueueProvider |Starting without optional kqueue library
2020-09-28 19:17:27 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-09-28 19:17:27 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2020-09-28 19:17:27 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-09-28 19:17:27 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-09-28 19:17:28 |INFO  |main |ScheduledAnnotationBeanPostProcessor.java:297 |org.springframework.scheduling.annotation.ScheduledAnnotationBeanPostProcessor |No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-09-28 19:17:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8160"]
2020-09-28 19:17:28 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8160 (http) with context path ''
2020-09-28 19:17:28 |INFO  |main |NacosServiceRegistry.java:62 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, service-ucenter 192.168.16.102:8160 register finished
2020-09-28 19:17:29 |INFO  |main |StartupInfoLogger.java:61 |com.bai.guli.service.ucenter.UcenterServiceApplication |Started UcenterServiceApplication in 10.621 seconds (JVM running for 11.694)
2020-09-28 19:20:31 |INFO  |http-nio-8160-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-28 19:20:31 |INFO  |http-nio-8160-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2020-09-28 19:20:31 |INFO  |http-nio-8160-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 12 ms
2020-09-28 19:20:31 |INFO  |http-nio-8160-exec-1 |HikariDataSource.java:110 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Starting...
2020-09-28 19:20:31 |INFO  |http-nio-8160-exec-1 |HikariDataSource.java:123 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Start completed.
2020-09-28 19:20:31 |INFO  |http-nio-8160-exec-1 |MyMetaObjectHandle.java:20 |com.bai.guli.service.base.handel.MyMetaObjectHandle |start insert fill ....
2020-09-28 19:22:00 |INFO  |http-nio-8160-exec-3 |ApiWxController.java:63 |com.bai.guli.service.ucenter.controller.api.ApiWxController |生成 state = 9bfed0de-45de-42af-b0c3-2ee593d80e9c
2020-09-28 19:22:41 |INFO  |http-nio-8160-exec-4 |ApiWxController.java:80 |com.bai.guli.service.ucenter.controller.api.ApiWxController |callback被调用
2020-09-28 19:22:41 |INFO  |http-nio-8160-exec-4 |ApiWxController.java:81 |com.bai.guli.service.ucenter.controller.api.ApiWxController |code = 6214
2020-09-28 19:22:41 |INFO  |http-nio-8160-exec-4 |ApiWxController.java:82 |com.bai.guli.service.ucenter.controller.api.ApiWxController |state = 9bfed0de-45de-42af-b0c3-2ee593d80e9c
2020-09-28 19:42:17 |INFO  |http-nio-8160-exec-7 |MyMetaObjectHandle.java:20 |com.bai.guli.service.base.handel.MyMetaObjectHandle |start insert fill ....
2020-09-28 19:42:37 |INFO  |http-nio-8160-exec-8 |ApiWxController.java:63 |com.bai.guli.service.ucenter.controller.api.ApiWxController |生成 state = fffcf1a9-88f3-4c8e-98f4-8db359516a67
2020-09-28 19:43:05 |INFO  |http-nio-8160-exec-9 |ApiWxController.java:80 |com.bai.guli.service.ucenter.controller.api.ApiWxController |callback被调用
2020-09-28 19:43:05 |INFO  |http-nio-8160-exec-9 |ApiWxController.java:81 |com.bai.guli.service.ucenter.controller.api.ApiWxController |code = 4263
2020-09-28 19:43:05 |INFO  |http-nio-8160-exec-9 |ApiWxController.java:82 |com.bai.guli.service.ucenter.controller.api.ApiWxController |state = fffcf1a9-88f3-4c8e-98f4-8db359516a67
2020-09-28 19:44:34 |INFO  |http-nio-8160-exec-1 |ApiWxController.java:80 |com.bai.guli.service.ucenter.controller.api.ApiWxController |callback被调用
2020-09-28 19:44:34 |INFO  |http-nio-8160-exec-1 |ApiWxController.java:81 |com.bai.guli.service.ucenter.controller.api.ApiWxController |code = wxed9954c01bb89b47
2020-09-28 19:44:34 |INFO  |http-nio-8160-exec-1 |ApiWxController.java:82 |com.bai.guli.service.ucenter.controller.api.ApiWxController |state = fffcf1a9-88f3-4c8e-98f4-8db359516a67
2020-09-28 19:52:47 |INFO  |http-nio-8160-exec-5 |ApiWxController.java:80 |com.bai.guli.service.ucenter.controller.api.ApiWxController |callback被调用
2020-09-28 19:52:47 |INFO  |http-nio-8160-exec-5 |ApiWxController.java:81 |com.bai.guli.service.ucenter.controller.api.ApiWxController |code = null
2020-09-28 19:52:47 |INFO  |http-nio-8160-exec-5 |ApiWxController.java:82 |com.bai.guli.service.ucenter.controller.api.ApiWxController |state = fffcf1a9-88f3-4c8e-98f4-8db359516a67
2020-09-28 19:52:51 |INFO  |http-nio-8160-exec-6 |ApiWxController.java:80 |com.bai.guli.service.ucenter.controller.api.ApiWxController |callback被调用
2020-09-28 19:52:51 |INFO  |http-nio-8160-exec-6 |ApiWxController.java:81 |com.bai.guli.service.ucenter.controller.api.ApiWxController |code = null
2020-09-28 19:52:51 |INFO  |http-nio-8160-exec-6 |ApiWxController.java:82 |com.bai.guli.service.ucenter.controller.api.ApiWxController |state = null
2020-09-28 19:54:27 |INFO  |http-nio-8160-exec-8 |ApiWxController.java:63 |com.bai.guli.service.ucenter.controller.api.ApiWxController |生成 state = 9650d25e-12fd-46c0-ac48-66c5020a108f
2020-09-28 19:55:00 |INFO  |http-nio-8160-exec-9 |ApiWxController.java:80 |com.bai.guli.service.ucenter.controller.api.ApiWxController |callback被调用
2020-09-28 19:55:00 |INFO  |http-nio-8160-exec-9 |ApiWxController.java:81 |com.bai.guli.service.ucenter.controller.api.ApiWxController |code = code
2020-09-28 19:55:00 |INFO  |http-nio-8160-exec-9 |ApiWxController.java:82 |com.bai.guli.service.ucenter.controller.api.ApiWxController |state = 9650d25e-12fd-46c0-ac48-66c5020a108f
2020-10-05 22:56:44 |INFO  |main |SpringApplication.java:655 |com.bai.guli.service.ucenter.UcenterServiceApplication |The following profiles are active: dev
2020-10-05 22:56:47 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2020-10-05 22:56:47 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-10-05 22:56:47 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2020-10-05 22:56:47 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=a0e80641-133a-3ee5-b559-bae2b8b2efca
2020-10-05 22:56:48 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-05 22:56:48 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-05 22:56:48 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration$$EnhancerBySpringCGLIB$$3af6c19a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-05 22:56:48 |INFO  |main |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8160 (http)
2020-10-05 22:56:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8160"]
2020-10-05 22:56:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-10-05 22:56:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-10-05 22:56:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |An older version [1.2.21] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-10-05 22:56:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.6.5].
2020-10-05 22:56:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-10-05 22:56:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
